seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,3.0,BHK,Independent Floor,Anand Vihar,"30,000",1800.0,Semi-Furnished,2 bathrooms,28.6466157,77.3155317
AGENT,2.0,BHK,Independent House,Preet Vihar,"15,000",1000.0,Semi-Furnished,1 bathrooms,28.6414176,77.2952819
AGENT,3.0,BHK,Independent Floor,Preet Vihar,"17,000",1200.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent Floor,Preet Vihar,"12,000",800.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent Floor,Preet Vihar,"20,000",1100.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent House,Preet Vihar,"10,000",1000.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,1.0,BHK,Independent House,Krishna Nagar,"9,000",800.0,Semi-Furnished,1 bathrooms,27.51547255,82.79253303740091
AGENT,1.0,RK,Studio Apartment,Preet Vihar,"7,000",350.0,Semi-Furnished,1 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent House,Preet Vihar,"12,000",1000.0,Semi-Furnished,1 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent House,Preet Vihar,"12,000",1000.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,1.0,BHK,Independent House,Preet Vihar,"9,000",600.0,Semi-Furnished,1 bathrooms,28.6414176,77.2952819
