seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
OWNER,2.0,BHK,Apartment,Sholinganallur,"13,000",1010.0,Unfurnished,2 bathrooms,12.9174426,80.21649018230858
OWNER,2.0,BHK,Independent Floor,Madipakkam,"12,500",1250.0,Unfurnished,2 bathrooms,12.9611348,80.2001292
OWNER,2.0,BHK,Apartment,Aminjikarai,"18,000",1100.0,Semi-Furnished,2 bathrooms,13.0721399,80.2205453
OWNER,3.0,BHK,Independent Floor,Chetpet,"38,000",1800.0,Unfurnished,2 bathrooms,12.508648999999998,79.31449862307821
OWNER,3.0,BHK,Independent Floor,Mogappair East,"33,000",1600.0,Unfurnished,3 bathrooms,13.0835142,80.1840779
OWNER,3.0,BHK,Apartment,Chromepet,"15,000",1100.0,Unfurnished,2 bathrooms,12.9521897,80.1411677
OWNER,2.0,BHK,Apartment,Poonamallee,"14,000",1100.0,Semi-Furnished,2 bathrooms,13.0768552,80.05106225488868
OWNER,1.0,BHK,Independent House,Avadi,"4,000",350.0,Unfurnished,1 bathrooms,13.1194809,80.1026704
OWNER,2.0,BHK,Independent Floor,George Town,"20,000",400.0,Semi-Furnished,2 bathrooms,5.4141619,100.3287352
OWNER,3.0,BHK,Independent House,Purasawalkam,"16,000",850.0,Unfurnished,2 bathrooms,13.0893275,80.2550331
OWNER,3.0,BHK,Independent House,Alwarpet,"40,000",1500.0,Semi-Furnished,3 bathrooms,13.0338602,80.2545491
OWNER,3.0,BHK,Apartment,Alandur,"36,000",1418.0,Semi-Furnished,3 bathrooms,13.00282155,80.17191860222883
OWNER,1.0,BHK,Independent Floor,Chromepet,"6,500",400.0,Unfurnished,1 bathrooms,12.9521897,80.1411677
OWNER,2.0,BHK,Independent Floor,Medavakkam,"9,500",770.0,Semi-Furnished,2 bathrooms,12.9229928,80.1882897
OWNER,2.0,BHK,Independent House,Virugambakkam,"16,000",1000.0,Unfurnished,2 bathrooms,13.0475434,80.1922181
OWNER,2.0,BHK,Apartment,Saidapet,"24,000",1024.0,Semi-Furnished,2 bathrooms,13.020817,80.2239536
OWNER,2.0,BHK,Apartment,Kovilambakkam,"15,000",1017.0,Semi-Furnished,2 bathrooms,12.9392427,80.1825888
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
OWNER,5.0,BHK,Apartment,Kovalam,"75,000",3800.0,Furnished,,8.4004698,76.9788156
OWNER,1.0,BHK,Independent Floor,Ambattur,"6,500",450.0,Unfurnished,1 bathrooms,13.1128863,80.15986241084877
OWNER,2.0,BHK,Apartment,Ambattur,"8,700",600.0,Semi-Furnished,2 bathrooms,13.1128863,80.15986241084877
OWNER,1.0,RK,Studio Apartment,Annanagar West,"4,000",250.0,Semi-Furnished,,Not found,Not found
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
OWNER,1.0,BHK,Apartment,Kilpauk,"25,000",653.0,Semi-Furnished,2 bathrooms,13.0832149,80.2379864
OWNER,1.0,BHK,Independent Floor,Madambakkam,"10,000",750.0,Semi-Furnished,2 bathrooms,12.9057186,80.1543859
OWNER,2.0,BHK,Apartment,Valasaravakkam,"12,500",700.0,Semi-Furnished,2 bathrooms,13.0410164,80.1721682
OWNER,2.0,BHK,Apartment,Ekkatuthangal,"12,000",600.0,Semi-Furnished,2 bathrooms,Not found,Not found
OWNER,3.0,BHK,Apartment,Padur,"18,000",1250.0,Semi-Furnished,3 bathrooms,12.8052162,80.2240356
OWNER,3.0,BHK,Independent House,Kilpauk,"42,000",1900.0,Semi-Furnished,4 bathrooms,13.0832149,80.2379864
OWNER,2.0,BHK,Apartment,Perungudi,"23,000",1125.0,Semi-Furnished,2 bathrooms,12.9710239,80.2418051
OWNER,2.0,BHK,Independent Floor,Kodambakkam,"20,000",900.0,Unfurnished,3 bathrooms,13.049207,80.2242829
OWNER,2.0,BHK,Apartment,Padi,"15,000",1300.0,Semi-Furnished,2 bathrooms,13.1035851,80.1920425
OWNER,1.0,BHK,Independent House,Jamalia,"10,000",600.0,Unfurnished,1 bathrooms,13.1062169,80.250519
