seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,3,BHK,Apartment,Madhapur,"30,000",1800,Furnished,3 bathrooms,17.4408924,78.3916304
AGENT,2,BHK,Apartment,Madhapur,"15,000",1200,Unfurnished,2 bathrooms,17.4408924,78.3916304
AGENT,3,BHK,Independent House,Madhapur,"25,000",1500,Semi-Furnished,3 bathrooms,17.4408924,78.3916304
AGENT,1,BHK,Independent House,Madhapur,"13,000",550,Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,1,BHK,Apartment,Kondapur,"13,000",600,Semi-Furnished,1 bathrooms,18.3309604,79.9224686
AGENT,3,BHK,Apartment,Kukatpally,"22,300",1600,Semi-Furnished,2 bathrooms,17.4930841,78.4054408
AGENT,1,BHK,Independent House,Madhapur,"10,000",600,Unfurnished,1 bathrooms,17.4408924,78.3916304
AGENT,3,BHK,Independent House,Neknampur,"23,400",1800,Semi-Furnished,1 bathrooms,20.78258735,78.0069546245119
AGENT,1,BHK,Independent House,Madhapur,"12,000",600,Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,1,BHK,Apartment,Madhapur,"12,000",550,Semi-Furnished,1 bathrooms,17.4408924,78.3916304
AGENT,2,BHK,Apartment,Madhapur,"20,000",1150,Semi-Furnished,2 bathrooms,17.4408924,78.3916304
AGENT,2,BHK,Apartment,Gachibowli,"18,000",1180,Semi-Furnished,2 bathrooms,17.4436222,78.3519638
AGENT,3,BHK,Apartment,Ameerpet,"30,000",2250,Semi-Furnished,3 bathrooms,17.4375012,78.4482505
AGENT,3,BHK,Apartment,Bollaram Industrial Area,"33,000",2032,Furnished,1 bathrooms,Not found,Not found
AGENT,2,BHK,Independent House,Sanath Nagar,"15,700",1200,Unfurnished,1 bathrooms,17.4522594,78.4446705
AGENT,1,BHK,Independent House,Erragadda,"13,560",800,Unfurnished,1 bathrooms,17.4487999,78.4356074
AGENT,1,RK,Studio Apartment,Kothaguda,"9,000",200,Semi-Furnished,1 bathrooms,19.3118116,79.5521736
AGENT,3,BHK,Apartment,Bollaram Industrial Area,"27,500",1450,Semi-Furnished,1 bathrooms,Not found,Not found
AGENT,4,BHK,Apartment,Toli Chowki,"42,000",1400,Furnished,1 bathrooms,Not found,Not found
AGENT,4,BHK,Apartment,Nizampet,"30,000",2800,Semi-Furnished,1 bathrooms,17.515397,78.3817156
AGENT,2,BHK,Independent House,Uppal,"13,500",1200,Semi-Furnished,,17.4025091,78.5612562
AGENT,1,BHK,Independent House,Gandipet,"13,200",500,Semi-Furnished,,17.374360600000003,78.30112472247902
AGENT,1,BHK,Independent House,Manikonda,"13,200",500,Semi-Furnished,,16.449897,80.8334595
AGENT,2,BHK,Independent House,Bollaram Industrial Area,"12,500",1240,Unfurnished,1 bathrooms,Not found,Not found
AGENT,2,BHK,Independent House,Bollaram Industrial Area,"12,500",1240,Unfurnished,1 bathrooms,Not found,Not found
AGENT,1,BHK,Independent House,Manikonda,"13,200",500,Semi-Furnished,,16.449897,80.8334595
AGENT,2,BHK,Independent House,Bahadurpally,"12,800",1200,Unfurnished,2 bathrooms,17.5599332,78.4375047
